|           3 | Parto      | Bamford      | Bamford      | 1953-09-29       |   62 |   1.88 | 10003                | m       |        10 |          10 |           109 | 2017-04-19     | 2017-04-24  |
|           2 | Bezalel    | Simmel       | Simmel       | 1952-07-08       |   88 |   1.69 | 10002                | f       |        10 |          10 |           109 | 2017-04-19     | 2017-04-24  |
|           1 | Georgi     | Facello      | Facello      | 1960-02-20       |   93 |   1.99 | 10001                | m       |        10 |          10 |           109 | 2017-04-19     | 2017-04-24  |
|          58 | Berhard    | McFarlin     | McFarlin     | 1954-10-01       |   99 |   1.96 | 10058                | m       |        11 |          11 |           116 | 2017-04-20     | 2017-04-23  |
|          57 | Ebbe       | Callaway     | Callaway     | 1954-05-30       |   91 |   1.96 | 10057                | f       |        11 |          11 |           116 | 2017-04-20     | 2017-04-23  |
|          56 | Brendon    | Bernini      | Bernini      | 1961-09-01       |   91 |   1.63 | 10056                | f       |        11 |          11 |           116 | 2017-04-20     | 2017-04-23  |
|          55 | Georgy     | Dredge       | Dredge       | 1956-06-06       |   97 |   1.61 | 10055                | m       |        11 |          11 |           116 | 2017-04-20     | 2017-04-23  |
|          54 | Mayumi     | Schueller    | Schueller    | 1957-04-04       |   75 |   1.72 | 10054                | m       |        11 |          11 |           116 | 2017-04-20     | 2017-04-23  |
|          53 | Sanjiv     | Zschoche     | Zschoche     | 1954-09-13       |   52 |   1.53 | 10053                | f       |        11 |          11 |           116 | 2017-04-20     | 2017-04-23  |
|          52 | Heping     | Nitsch       | Nitsch       | 1961-02-26       |   85 |   1.59 | 10052                | m       |        11 |          11 |           116 | 2017-04-20     | 2017-04-23  |
|          51 | Hidefumi   | Caine        | Caine        | 1953-07-28       |   54 |   1.84 | 10051                | m       |        11 |          11 |           116 | 2017-04-20     | 2017-04-23  |
|          50 | Yinghua    | Dredge       | Dredge       | 1958-05-21       |   78 |   1.54 | 10050                | m       |        11 |          11 |           116 | 2017-04-20     | 2017-04-23  |
